k,weighted,mask_proportion,categorical_accuracy,continuous_rmse
5,TRUE,0.1,0.7436537971532576,221.3327524178434
7,TRUE,0.1,0.7389794816109125,220.9879128201588
5,FALSE,0.1,0.7376396545965003,227.68972771223014
3,TRUE,0.1,0.7358630365191434,191.4290224605268
3,TRUE,0.2,0.7345461132520668,166.3054832009749
10,TRUE,0.1,0.7341459486011941,217.4313597092676
5,TRUE,0.2,0.7328461660449407,144.4336830663641
7,TRUE,0.2,0.7324964405326306,162.52764126164956
7,FALSE,0.1,0.7301066693495125,226.91607852343927
10,TRUE,0.2,0.7278078150972419,168.82735841538397
10,FALSE,0.1,0.7273603042266008,221.77838111743057
3,FALSE,0.2,0.726383960252611,168.82751747554636
3,FALSE,0.1,0.7255464923421321,196.39666093831227
5,TRUE,0.3,0.7254735395255595,366.43906278814046
15,TRUE,0.1,0.7249004882124034,227.88308873991616
15,TRUE,0.2,0.7248221830472042,185.15030702735024
7,FALSE,0.2,0.7235752598699863,166.1099964151332
5,FALSE,0.2,0.7233066650888867,146.6680664397831
3,TRUE,0.3,0.7202928257012209,361.908431978379
3,TRUE,0.4,0.7196209790173306,238.76368955490446
15,FALSE,0.1,0.7190259347689709,232.3856270640026
7,TRUE,0.3,0.7188918342387804,379.7071402950408
10,TRUE,0.3,0.7180602571544943,391.19730134340625
5,FALSE,0.3,0.7179032384994743,372.08835012470024
5,TRUE,0.4,0.7175101683814439,240.43412244601927
15,FALSE,0.2,0.7168375737839617,190.61831467357172
10,FALSE,0.2,0.7160670109827985,172.51820024134076
3,FALSE,0.3,0.714537090349452,364.8090208729112
7,TRUE,0.4,0.7143200364103565,248.67923272857004
10,TRUE,0.4,0.7132101989765106,253.04012857239007
3,FALSE,0.4,0.7118087315289903,239.15294202073233
15,TRUE,0.3,0.7116249566135583,409.2524363229296
7,FALSE,0.3,0.7106338126144707,387.37402444495683
3,TRUE,0.5,0.7104412265211932,298.0237081956291
5,TRUE,0.5,0.7090663618782664,281.8448690857556
5,FALSE,0.4,0.7077243983107802,244.97953723846254
10,FALSE,0.3,0.7072913300811785,399.0531270920336
7,FALSE,0.4,0.7066710781149591,254.17442112107153
7,TRUE,0.5,0.7054897731327836,278.7509383166458
10,FALSE,0.4,0.7054773461059756,258.02425037447915
10,TRUE,0.5,0.7053360286808356,280.41814592965443
15,TRUE,0.4,0.7048819613753458,257.36520824024853
15,FALSE,0.3,0.7046267873215274,416.852059020353
3,FALSE,0.5,0.704180402607814,294.92941926054084
5,FALSE,0.5,0.7022371240725411,280.7630735591878
7,FALSE,0.5,0.6983390687816761,279.5881088831966
15,FALSE,0.4,0.6977762952598194,261.83183276521027
10,FALSE,0.5,0.6962081052242048,284.13977508199577
15,TRUE,0.5,0.6951093288828059,284.5963801651675
15,FALSE,0.5,0.6894346794820325,289.1632077120872
