spec_code,Species,stock_code,MaxLengthTL_estimate,Troph_estimate,seTroph_estimate,a_estimate,sd_log10a_estimate,b_estimate,sd_b_estimate,K_estimate,ComDepthMin_estimate,ComDepthMax_estimate,DepthMin_estimate,DepthMax_estimate,PredPreyRatioMin_estimate,PredPreyRatioMax_estimate,TempPrefMin_estimate,TempPrefMean_estimate,TempPrefMax_estimate,FeedingPath_estimate,MaxLengthSL_estimate,to_matrix,mean_temp_matrix,Life_span_matrix,Generation_time_matrix,tm_matrix,E_matrix,Resilience_matrix,QB_matrix,BodyShapeI_morphdat,OperculumPresent_morphdat,LLinterrupted_morphdat,Notched_morphdat,DorsalSoftRaysMin_morphdat,DorsalSoftRaysMax_morphdat,Genus_species,FBname_species,Fresh_species,Brack_species,Saltwater_species,DemersPelag_species,AirBreathing_species,Vulnerability_species,PriceCateg_species,Dangerous_species,Electrogenic_species,PD50_species
7,Coryphaena equiselis,9,145.6999969482422,4.5,0.6000000238418579,0.0123027004301548,0.20600000023841858,2.9800000190734863,0.11100000143051147,1.0199999809265137,46,183,0,400,5.04900852843277,31.1867268214554,14.2,22.3,27.9,pelagic,115.44000244140625,-0.13785596019060653,23.5,3.9717299938201904,1.3254400491714478,0.800000011920929,0.5,Medium; decline threshold 0.95,3.4,fusiform / normal,-1,FALSE,0,52,59,Coryphaena,Pompano dolphinfish,0,0,1,pelagic-oceanic,WaterAssumed,39.96,unknown,harmless,no special ability,1
9,Abalistes stellatus,15,60,3.430000066757202,0.4099999964237213,0.02884029969573021,0.04600000008940697,2.9000000953674316,0.02889999933540821,0.1899999976158142,46,165,7,350,5.66616104008174,348.943600686014,22.9,27.1,28.3,benthic,50.619998931884766,-0.73,25,15.100000381469727,4.552080154418945,3.5,0.5,Medium; decline threshold 0.95,5.5,short and / or deep,-1,FALSE,0,25,27,Abalistes,Starry triggerfish,0,0,1,demersal,WaterAssumed,47.05,medium,harmless,no special ability,0.75
10,Scyris indica,16,165,4.199999809265137,0.5699999928474426,0.02511890046298504,0.049800001084804535,2.8499999046325684,0.030300000682473183,0.17000000178813934,28,60,20,100,3.8145672804531,49.8671528855607,23.7,27.4,28.6,pelagic,136.9499969482422,-0.6818964378286823,29,16.965200424194336,5.506760120391846,3.540910005569458,0.5,Medium; decline threshold 0.95,5,short and / or deep,-1,FALSE,0,18,20,Scyris,Indian threadfish,0,1,1,reef-associated,WaterAssumed,61.72,medium,harmless,no special ability,0.75
63,Dicentrarchus labrax,73,103,3.4700000286102295,0.5,0.009332540445029736,0.0406000018119812,3.0199999809265137,0.02850000001490116,0.15000000596046448,19,55,10,100,5.24572590899716,99.4181400623952,7.3,10.7,19.5,pelagic,92.30999755859375,-1.260682630982038,17.1875,28.000999450683594,8.756739616394043,6.292789936065674,0.5,Low; decline threshold 0.85,10.199999809265137,fusiform / normal,-1,FALSE,0,12,13,Dicentrarchus,European seabass,1,1,1,demersal,WaterAssumed,66.07,very high,harmless,no special ability,0.7656000256538391
66,Engraulis encrasicolus,76,24.399999618530273,3.119999885559082,0.36000001430511475,0.004570879973471165,0.022299999371170998,3.0999999046325684,0.015399999916553497,0.5600000023841858,46,183,0,400,9.01504539160236,1612.34734601655,7.1,10.8,18,pelagic,20,-0.24304282150403736,14.300000190734863,3.460659980773926,1.0388699769973755,1.0241999626159668,0.5,High; decline threshold 0.99,9.119999885559082,elongated,-1,FALSE,0,16,18,Engraulis,European anchovy,0,1,1,pelagic-neritic,WaterAssumed,17.61,medium,harmless,no special ability,0.5019999742507935
73,Gobius paganellus,82,13,3.299999952316284,0.4530999958515167,0.008709640242159367,0.05739999935030937,3.0999999046325684,0.017799999564886093,0.550000011920929,1,8,0,15,7.98613289340678,130.50373732414,9.8,17.7,20.2,benthic,11,-0.2728827814950846,11.100000381469727,3.836709976196289,1.185189962387085,1.1207300424575806,0.5,High; decline threshold 0.99,7,fusiform / normal,0,FALSE,0,9.170295274259995,10.797274696882148,Gobius,Rock goby,1,1,1,demersal,WaterAssumed,19.37,very high,harmless,no special ability,0.5
77,Istiophorus platypterus,87,386.2799987792969,4.5,0.33500000834465027,0.005888440180569887,0.17000000178813934,3.140000104904175,0.09880000352859497,0.4300000071525574,30,95,0,200,3.604324259167,31.1867268214554,18.2,25.6,27.7,pelagic,344.1000061035156,-0.12086034713326976,20.5,3.868499994277954,1.7570300102233887,0.7474780082702637,0.5,High; decline threshold 0.99,2.7,elongated,-1,FALSE,0,47,53,Istiophorus,Indo-Pacific sailfish,0,0,1,pelagic-oceanic,WaterAssumed,40.65,very high,harmless,no special ability,0.7505000233650208
80,Chanos chanos,95,219.60000610351563,2.5399999618530273,0.14000000059604645,0.008511380292475224,0.05810000002384186,3.059999942779541,0.040300000458955765,0.2294508110451331,4,15,1,30,29.3010123848643,3977.68372452384,20.7,28.2,29.2,benthic,180,-0.93,25,29.06999969482422,9.931489944458008,5.800000190734863,0.5,Low; decline threshold 0.85,0,elongated,-1,FALSE,0,13,17,Chanos,Milkfish,1,1,1,benthopelagic,WaterAssumed,76.23,unknown,harmless,no special ability,1.5
81,Aphareus furca,96,70,4.139999866485596,0.7300000190734863,0.017378000542521477,0.11800000071525574,2.950000047683716,0.0723000019788742,0.1899999976158142,13,60,0,122,5.26110455198911,47.4414882258275,24.7,28,29.1,pelagic,57.83000183105469,-0.3901681451248679,25,8.984829902648926,2.774319887161255,2,0.5,Medium; decline threshold 0.95,4.9,fusiform / normal,-1,FALSE,0,10,11,Aphareus,Small toothed jobfish,0,0,1,reef-associated,WaterAssumed,35.93,very high,reports of ciguatera poisoning,no special ability,0.75
83,Aphareus rutilans,98,110,4.110000133514404,0.5699999928474426,0.015488199889659882,0.04749999940395355,2.930000066757202,0.029500000178813934,0.17000000178813934,125,209,100,330,4.45656234754255,48.8959732768663,14.1,18.4,23.3,pelagic,88.83000183105469,-0.6924426949930165,23,15.328900337219238,4.754330158233643,3.337980031967163,0.5,Medium; decline threshold 0.95,4.6,fusiform / normal,-1,FALSE,0,10,11,Aphareus,Rusty jobfish,0,0,1,reef-associated,WaterAssumed,53.47,very high,harmless,no special ability,0.75
84,Aprion virescens,99,112,4.28000020980835,0.4180000126361847,0.013803799636662006,0.03620000183582306,2.940000057220459,0.024399999529123306,0.23999999463558197,19,86,0,180,4.88694997834745,40.7138609635244,23.9,27.9,29,pelagic,90.69999694824219,-0.4232071855859732,24.75,9.254210472106934,2.839940071105957,2.0889899730682373,0.5,High; decline threshold 0.99,5.2,fusiform / normal,-1,FALSE,0,11,11,Aprion,Green jobfish,0,0,1,reef-associated,WaterAssumed,40.46,very high,reports of ciguatera poisoning,no special ability,1
93,Auxis rochei,107,55.5,4.400000095367432,0.6100000143051147,0.009332540445029736,0.031199999153614044,3.059999942779541,0.01940000057220459,0.47999998927116394,14,31,10,50,6.06498009972086,41.1859525273558,13.6,26,29,pelagic,46.849998474121094,-0.24157876333494385,22.125,4.676449775695801,1.4773600101470947,1.1425700187683105,0.5,High; decline threshold 0.99,17,fusiform / normal,-1,FALSE,0,10,13,Auxis,Bullet tuna,0,1,1,pelagic-neritic,WaterAssumed,26.68,very high,harmless,no special ability,0.5625
94,Auxis thazard,108,72.1500015258789,4.369999885559082,0.3799999952316284,0.00954992976039648,0.030700000002980232,3.069999933242798,0.019300000742077827,0.7200000286102295,170,463,50,1000,5.93780673632825,36.5884455311398,13.8,22,27.1,pelagic,59.279998779296875,-0.19476437829830945,28.5,3.9148199558258057,1.1758400201797485,0.9466059803962708,0.5,High; decline threshold 0.99,7.9,fusiform / normal,-1,FALSE,0,10,13,Auxis,Frigate tuna,0,0,1,pelagic-neritic,WaterAssumed,27.83,very high,harmless,no special ability,0.5625
96,Euthynnus affinis,110,111,4.25,0.7699999809265137,0.009772369638085365,0.032099999487400055,3.049999952316284,0.01940000057220459,0.5899999737739563,22,95,0,200,4.81479882975731,42.1360426909531,20.7,26.9,28.5,pelagic,92.80000305175781,-0.21500097144889288,23.400000254313152,5.142139911651611,1.8143600225448608,1.12076997756958,0.5,High; decline threshold 0.99,9.4,fusiform / normal,-1,FALSE,0,11,15,Euthynnus,Kawakawa,0,0,1,pelagic-neritic,WaterAssumed,35.82,medium,reports of ciguatera poisoning,no special ability,0.625
104,Grammatorcynus bilineatus,118,111,4.179999828338623,0.6904000043869019,0.009332540445029736,0.16099999845027924,3.059999942779541,0.0868000015616417,0.28999999165534973,18,33,15,50,4.61340833539366,45.503857790623,25.6,28.2,29.1,pelagic,91.4000015258789,-0.41,17,9.899999618530273,3.179539918899536,2.0999999046325684,0.5,Medium; decline threshold 0.95,3,fusiform / normal,-1,FALSE,0,10,14,Grammatorcynus,Doublelined mackerel,0,0,1,reef-associated,WaterAssumed,47.62,very high,harmless,no special ability,0.75
106,Gymnosarda unicolor,120,275.2799987792969,4.5,0.75,0.010715199634432793,0.11299999803304672,3.059999942779541,0.07190000265836716,0.11999999731779099,28,118,0,250,3.86587695393071,31.1867268214554,20.9,26.5,28.2,pelagic,227.1699981689453,-0.8,25,24.200000762939453,8.4652099609375,4.599999904632568,0.5,Low; decline threshold 0.85,2.4,fusiform / normal,-1,FALSE,0,12,14,Gymnosarda,Dogtooth tuna,0,0,1,reef-associated,WaterAssumed,72.67,high,reports of ciguatera poisoning,no special ability,1
107,Katsuwonus pelamis,121,122.0999984741211,4.429999828338623,0.4740000069141388,0.010715199634432793,0.025499999523162842,3.109999895095825,0.016899999231100082,0.5400000214576721,0,122,0,260,5.06742730073554,34.0019139907015,13.3,26.2,29,pelagic,102.41000366210938,-0.24635927738545235,29.5,5.876090049743652,1.8545600175857544,1.2812399864196777,0.5,High; decline threshold 0.99,32.56999969482422,fusiform / normal,-1,FALSE,0,14,15,Katsuwonus,Skipjack tuna,0,0,1,pelagic-oceanic,WaterAssumed,38.12,high,reports of ciguatera poisoning,no special ability,1
111,Rastrelliger kanagurta,125,32.470001220703125,3.2899999618530273,0.3799999952316284,0.008709640242159367,0.027699999511241913,3.069999933242798,0.017799999564886093,0.9700000286102295,27,55,20,90,7.00583175243554,163.02272967761,23.7,27.3,28.3,pelagic,26.6299991607666,-0.1458446166738897,26.99642869404384,2.606450080871582,0.7859740257263184,0.6689170002937317,0.5,High; decline threshold 0.99,10.5,fusiform / normal,-1,FALSE,0,12,12,Rastrelliger,Indian mackerel,0,0,1,pelagic-neritic,WaterAssumed,17.31,very high,harmless,no special ability,0.625
114,Sarda orientalis,128,113.22000122070313,4.210000038146973,0.6600000262260437,0.009999999776482582,0.14300000667572021,3.049999952316284,0.08169999718666077,0.7200000286102295,19,81,1,167,4.66456020574665,44.0545546008823,20.5,27.6,29,benthic,92.410003662109375,-0.18451766173456718,15,4.227250099182129,1.6923099756240845,0.9549139738082886,0.5,High; decline threshold 0.99,3.2,fusiform / normal,-1,FALSE,0,10.44185505144926,10.652726385895017,Sarda,Striped bonito,0,0,1,pelagic-neritic,WaterAssumed,35.08,high,harmless,no special ability,0.5311999917030334
116,Scomber australasicus,130,61.2400016784668,4.230000019073486,0.49000000953674316,0.008912510238587856,0.0284000001847744,3.059999942779541,0.018300000578165054,0.3199999928474426,99,143,87,200,6.10471668081975,43.0927294864789,10.8,18.7,24.3,pelagic,50.20000076293945,-0.6289139753868239,15,11.871100425720215,3.5674901008605957,2.8565499782562256,0.5,Medium; decline threshold 0.95,4.5,fusiform / normal,-1,FALSE,0,12,12,Scomber,Blue mackerel,0,0,1,pelagic-neritic,WaterAssumed,43.57,very high,harmless,no special ability,0.5625
121,Scomberomorus commerson,135,266.3999938964844,4.5,0.4000000059604645,0.006606929935514927,0.027400000020861626,3.009999990463257,0.016599999740719795,0.3400000035762787,16,41,10,70,3.9032142927765,31.1867268214554,22.8,28,29,pelagic,233.27999877929688,-0.36732527162905576,24.599999972752162,10.347000122070313,3.593329906463623,2.060650110244751,0.5,Medium; decline threshold 0.95,3.4,fusiform / normal,-1,FALSE,0,15,20,Scomberomorus,Narrow-barred Spanish mackerel,0,0,1,pelagic-neritic,WaterAssumed,51.72,very high,reports of ciguatera poisoning,no special ability,0.5
127,Apogonichthyoides taeniatus,141,17,3.6600000858306885,0.5,0.013803799636662006,0.1289999932050705,2.990000009536743,0.0794999971985817,0.5899999737739563,6,13,5,20,7.55179798422152,95.2320915949854,25,27.5,29.1,benthic,12.989999771118164,-0.32,17,4.800000190734863,1.8175100088119507,1.2999999523162842,0.5,High; decline threshold 0.99,8.4,short and / or deep,-1,FALSE,0,8,9,Apogonichthyoides,Twobelt cardinal,0,0,1,reef-associated,WaterAssumed,23.23,high,harmless,no special ability,0.5
142,Thunnus alalunga,156,155.39999389648438,4.300000190734863,0.20499999821186066,0.01698240078985691,0.04280000180006027,3.009999990463257,0.01759999990463257,0.18000000715255737,72,268,0,600,4.39124625233438,39.7765844993881,8.8,15.1,21.2,pelagic,135.92999267578125,-0.8347402277252155,13,22.24220085144043,7.949550151824951,4.472959995269775,0.5,Low; decline threshold 0.85,1.7,fusiform / normal,-1,FALSE,0,12,16,Thunnus,Albacore,0,0,1,pelagic-oceanic,WaterAssumed,71.11,high,harmless,no special ability,0.5038999915122986
143,Thunnus albacares,157,265.2900085449219,4.409999847412109,0.4090000092983246,0.014125400222837925,0.041600000113248825,3.0299999713897705,0.017799999564886093,0.36000001430511475,1,250,1,1602,3.844744571698,34.8471234501234,16.5,26.7,28.9,benthic,230.8699951171875,-0.2675428652095556,24.06083337465922,7.840569972991943,2.9296700954437256,1.5422600507736206,0.5,High; decline threshold 0.99,11.640000343322754,fusiform / normal,-1,FALSE,0,12,16,Thunnus,Yellowfin tuna,0,1,1,pelagic-oceanic,WaterAssumed,45.6,high,harmless,no special ability,0.5038999915122986
148,Thunnus tonggol,162,160.9499969482422,4.5,0.6200000047683716,0.014125400222837925,0.11900000274181366,3.009999990463257,0.07400000095367432,0.36000001430511475,30,101,10,200,4.63396131701298,31.1867268214554,13,26.5,28.4,pelagic,137.60000610351563,-0.28961304039243896,27,7.210390090942383,2.346669912338257,1.535249948501587,0.5,High; decline threshold 0.99,4.9,fusiform / normal,-1,FALSE,0,11.523331430874082,14.308971307921597,Thunnus,Longtail tuna,0,0,1,pelagic-neritic,WaterAssumed,44.42,very high,harmless,no special ability,0.5038999915122986
156,Lutjanus kasmira,170,40,3.869999885559082,0.3199999928474426,0.015135600231587887,0.025200000032782555,2.9700000286102295,0.011599999852478504,0.2800000011920929,30,150,3,265,5.76042080876138,61.3420199790019,19.1,26.4,28.3,benthic,33.630001068115234,-0.7231231973249024,23,13.427800178527832,3.8751800060272217,3.307270050048828,0.5,Medium; decline threshold 0.95,6.1,fusiform / normal,-1,FALSE,0,14,15,Lutjanus,Common bluestripe snapper,0,0,1,reef-associated,WaterAssumed,40.21,high,harmless,no special ability,0.5
159,Lutjanus lutjanus,173,35,4.050000190734863,0.6200000047683716,0.015135600231587887,0.0272000003606081,2.9600000381469727,0.012000000104308128,0.5899999737739563,10,48,0,96,5.94379817100119,51.8199261728995,24.9,28.1,29.1,pelagic,28.920000076293945,-0.3083451191944899,29,5.2472100257873535,1.4429500102996826,1.3601900339126587,0.5,High; decline threshold 0.99,11.4,fusiform / normal,-1,FALSE,0,12,12,Lutjanus,Bigeye snapper,0,0,1,reef-associated,WaterAssumed,25.49,high,harmless,no special ability,0.5
166,Lutjanus monostigma,180,60,4.269999980926514,0.7400000095367432,0.015135600231587887,0.09070000052452087,2.930000066757202,0.05849999934434891,0.2199999988079071,7,31,1,60,5.94170497076265,41.1859525273558,24.8,28.1,29.1,pelagic,52.38999938964844,-0.6371599083157682,29,12.999199867248535,3.8969199657440186,3.0034399032592773,0.5,Medium; decline threshold 0.95,7.3,fusiform / normal,-1,FALSE,-1,13,14,Lutjanus,One-spot snapper,0,1,1,reef-associated,WaterAssumed,39.61,high,reports of ciguatera poisoning,no special ability,0.5
173,Lutjanus rivulatus,187,85.5,4.039999961853027,0.5099999904632568,0.014454400166869164,0.09059999883174896,3.0299999713897705,0.058400001376867294,0.18000000715255737,18,74,3,150,5.01959640613968,47.9261685689713,22.5,26.5,28.2,benthic,70.86000061035156,-1.1791727193538812,29,26.093599319458008,8.141839981079102,5.693840026855469,0.5,Low; decline threshold 0.85,5.5,fusiform / normal,-1,TRUE,0,15,16,Lutjanus,Blubberlip snapper,0,0,1,reef-associated,WaterAssumed,62.07,high,reports of ciguatera poisoning,no special ability,0.5
176,Lutjanus russellii,190,50,4.099999904632568,0.39500001072883606,0.013182600028812885,0.09589999914169312,2.9800000190734863,0.061000000685453415,0.25999999046325684,20,50,3,80,5.64486124030212,49.3813236883194,24.4,28,29.1,pelagic,40.97999954223633,-0.55,25,11,3.2620699405670166,2.5999999046325684,0.5,Medium; decline threshold 0.95,6.5,fusiform / normal,-1,FALSE,0,14,14,Lutjanus,Russell's snapper,0,1,1,reef-associated,WaterAssumed,37.44,high,harmless,no special ability,0.5
177,Lutjanus sanguineus,191,100,4.489999771118164,0.7099999785423279,0.014454400166869164,0.12300000339746475,2.9600000381469727,0.07150000333786011,0.20999999344348907,24,78,9,150,5.49609227138808,31.5750572576677,23.4,26.8,29.2,pelagic,82,-0.46952966962342074,27.600000381469727,10.54520034790039,3.2746899127960205,2.3614399433135986,0.5,Medium; decline threshold 0.95,5.8,fusiform / normal,-1,FALSE,0,13,14,Lutjanus,Humphead snapper,0,0,1,reef-associated,WaterAssumed,39.02,high,harmless,no special ability,0.5
178,Lutjanus sebae,192,128.75999450683594,4.090000152587891,0.3959999978542328,0.015135600231587887,0.06129999831318855,3.009999990463257,0.04259999841451645,0.18000000715255737,24,89,5,180,4.17272906877357,49.8671528855607,22.9,27.1,28.5,benthic,101.20999908447266,-0.7853409411532356,27.600000381469727,17.96470069885254,5.652910232543945,3.896169900894165,0.5,Medium; decline threshold 0.95,4.8,short and / or deep,-1,FALSE,0,15,16,Lutjanus,Emperor red snapper,0,1,1,reef-associated,WaterAssumed,58.91,high,reports of ciguatera poisoning,no special ability,0.5
187,Macolor niger,201,75,4.010000228881836,0.6600000262260437,0.016218099743127823,0.1080000028014183,2.990000009536743,0.06650000065565109,0.18000000715255737,11,46,2,90,4.90059090637321,53.8019799482361,24.7,28.1,29.1,pelagic,58.40999984741211,-0.73,25,15.899999618530273,4.925960063934326,3.5,0.5,Medium; decline threshold 0.95,4.6,fusiform / normal,-1,FALSE,0,13,15,Macolor,Black and white snapper,0,0,1,reef-associated,WaterAssumed,50.6,very high,harmless,no special ability,0.75
192,Paracaesio sordida,206,48,2.75,0.3100000023841858,0.016218099743127823,0.12399999797344208,3.069999933242798,0.08259999752044678,0.27000001072883606,26,100,5,200,13.2764749437653,643.453928820183,21.8,26.9,28.4,pelagic,38.470001220703125,-0.54,25,10.600000381469727,3.11503005027771,2.5,0.5,Medium; decline threshold 0.95,19.2,fusiform / normal,-1,FALSE,0,9,10,Paracaesio,Sordid snapper,0,0,1,reef-associated,WaterAssumed,36.75,very high,harmless,no special ability,0.5038999915122986
194,Paracaesio xanthurus,208,50,3.4000000953674316,0.44999998807907104,0.018620900809764862,0.13699999451637268,3.0799999237060547,0.08799999952316284,0.25999999046325684,32,120,5,250,6.63171404853275,110.427085306918,19.9,26.5,28.3,pelagic,40.04999923706055,-0.55,25,11,3.2620699405670166,2.5999999046325684,0.5,Medium; decline threshold 0.95,5.9,fusiform / normal,-1,FALSE,-1,10,11,Paracaesio,Yellowtail blue snapper,0,0,1,reef-associated,WaterAssumed,37.44,very high,harmless,no special ability,0.5038999915122986
201,Pristipomoides filamentosus,215,100,4.190000057220459,0.4189999997615814,0.010715199634432793,0.07909999787807465,2.930000066757202,0.0502999983727932,0.20999999344348907,180,270,40,400,4.81556878359448,45.0201248124266,12.2,15,22.6,benthic,83.81999969482422,-0.53717362686796,22.91111119588216,11.85949993133545,3.663530111312866,2.6679000854492188,0.5,Medium; decline threshold 0.95,5,elongated,-1,FALSE,0,11,11,Pristipomoides,Crimson jobfish,0,0,1,benthopelagic,WaterAssumed,43.22,very high,harmless,no special ability,0.5005000233650208
208,Pristipomoides multidens,222,90,3.8399999141693115,0.5799999833106995,0.016595900058746338,0.11100000143051147,2.950000047683716,0.06859999895095825,0.23999999463558197,125,275,40,350,4.66934704075876,63.173826074179,12.3,17,23,benthic,71.01000213623047,-0.5982841692707632,27.100000381469727,13.100299835205078,4.038569927215576,2.9128799438476563,0.5,Medium; decline threshold 0.95,5.5,fusiform / normal,-1,FALSE,-1,11,11,Pristipomoides,Goldbanded jobfish,0,0,1,demersal,WaterAssumed,43.24,very high,harmless,no special ability,0.5005000233650208
209,Pristipomoides sieboldii,223,79,3.6700000762939453,0.20000000298023224,0.014454400166869164,0.12300000339746475,2.990000009536743,0.07360000163316727,0.3499999940395355,129,222,100,360,5.26007585409601,76.1318289942877,13.8,18.2,23.1,benthic,63.150001525878906,-0.40968864318152604,21,8.137319564819336,2.4407999515533447,1.9429600238800049,0.5,High; decline threshold 0.99,5.1,fusiform / normal,-1,FALSE,0,11,11,Pristipomoides,Lavender jobfish,0,0,1,benthopelagic,WaterAssumed,35.78,very high,harmless,no special ability,0.5005000233650208
217,Istiompax indica,231,516.1500244140625,4.5,0.4099999964237213,0.00446684006601572,0.16699999570846558,3.130000114440918,0.09950000047683716,0.18000000715255737,0,200,0,915,3.49355484543391,31.1867268214554,16,25.4,28.4,pelagic,452.45001220703125,-0.9088791819469525,18,31.006000518798828,11.433500289916992,5.806660175323486,0.5,Low; decline threshold 0.85,1.6,elongated,0,FALSE,0,39,50,Istiompax,Black marlin,0,0,1,pelagic-oceanic,WaterAssumed,78.22,very high,harmless,no special ability,1.000499963760376
